ID,선수명,데뷔년도,생년월일,,,,,,,,,,
94545,박지철,1994,1975-04-13,,,,,,,,,,
98469,문남열,1999,1978-10-17,,,,,,,,,,
99742,김병준,1999,1977-04-01,,,,,,,,,,
90315,권준헌,1990,1971-12-01,,,,,,,,,,
72340,최환인,2002,1979-06-15,,,,,,,,,,
73168,김진유,1997,1979-07-01,,,,,,,,,,
73508,이석만,2003,1980-05-08,,,,,,,,,,
74817,김종민,2004,1981-06-30,,,,,,,,,,
74836,최혁길,2004,1981-03-25,,,,,,,,,,
75763,서민욱,2005,1982-01-09,,,,,,,,,,
75799,조성민,1996,1973-04-05,,,,,,,,,,
75356,이상우,2005,1981-08-13,,,,,,,,,,
75859,김태환,2005,1985-03-30,,,,,,,,,,
78164,김수형,2008,1985-03-27,,,,,,,,,,
78843,임성헌,2008,1985-06-22,,,,,,,,,,
76758,안영진,2006,1983-09-03,,,,,,,,,,
62761,박찬호,1994,1973-06-30,,,,,,,,,,
88770,한용덕,1987,1965-06-02,,,,,,,,,,
93245,이용호,1993,1970-05-06,,,,,,,,,,
