ID,선수명,팀명,연도,등록일수
66704,김태연,한화,2021,77
68743,정은원,한화,2021,183
78288,최재훈,한화,2021,183
62700,하주석,한화,2021,183
69737,노시환,한화,2021,174
51714,페레즈,한화,2021,74
64266,이성곤,한화,2021,103
51725,힐리,한화,2021,92
51762,장규현,한화,2021,29
63700,장운호,한화,2021,174
63704,노수광,한화,2021,113
61208,정진호,한화,2021,97
73136,이성열,한화,2021,106
61554,김민하,한화,2021,100
50707,최인호,한화,2021,98
69705,조한민,한화,2021,87
50709,박정현,한화,2021,59
69706,허관회,한화,2021,76
66702,이동훈,한화,2021,78
51706,장지승,한화,2021,81
68700,이원석,한화,2021,60
65703,이도윤,한화,2021,125
60343,이해창,한화,2021,82
50704,임종찬,한화,2021,75
69766,유장혁,한화,2021,58
78643,백용환,한화,2021,105
51764,정민규,한화,2021,9
64704,노태형,한화,2021,31
66710,강상원,한화,2021,57
65503,김지수,한화,2021,19
69702,김현민,한화,2021,19
50705,강재민,한화,2021,183
67711,김기탁,한화,2021,67
63765,김종수,한화,2021,145
71752,김태균,한화,2021,1
66707,박상언,한화,2021,3
61156,송윤준,한화,2021,47
51767,송호정,한화,2021,29
60140,신정락,한화,2021,87
63464,윤대경,한화,2021,156
63961,윤호솔,한화,2021,183
62611,임준섭,한화,2021,45
79764,장민재,한화,2021,67
74857,정우람,한화,2021,183
64554,문동욱,한화,2021,38
50758,신지후,한화,2021,4
50815,킹험,한화,2021,149
65707,주현상,한화,2021,156
67737,김진영,한화,2021,88
51722,카펜터,한화,2021,173
65764,김민우,한화,2021,173
51761,배동현,한화,2021,96
51715,김기중,한화,2021,117
79440,정인욱,한화,2021,27
65769,김범수,한화,2021,173
69703,오동욱,한화,2021,118
64760,황영국,한화,2021,73
69213,윤산흠,한화,2021,20
77318,장시환,한화,2021,115
50720,남지민,한화,2021,32
69745,김이환,한화,2021,96
63749,이충호,한화,2021,75
50706,장웅정,한화,2021,14
64759,서균,한화,2021,5
68703,박주홍,한화,2021,13
68797,이승관,한화,2021,29
