변수명,실제변수명,fscore순위,mutual_info순위
variable1,데뷔년도,36.0,3.0
variable2,연도,47.0,5.0
variable3,평균자책점,59.0,48.0
variable4,경기,39.0,10.0
variable5,승리,6.0,15.0
variable6,패배,17.0,19.0
variable7,세이브,32.0,60.0
variable8,홀드,63.0,52.0
variable9,승률,40.0,12.0
variable10,이닝,10.0,13.0
variable11,피안타,7.0,9.0
variable12,홈런,22.0,33.0
variable13,볼넷,33.0,31.0
variable14,사구,42.0,41.0
variable15,삼진,8.0,11.0
variable16,실점,20.0,24.0
variable17,자책점,21.0,25.0
variable18,이닝당_출루허용률,55.0,42.0
variable19,완투,46.0,71.0
variable20,완봉,62.0,72.0
variable21,퀄리티스타트,9.0,51.0
variable22,블론세이브,31.0,36.0
variable23,타자수,12.0,26.0
variable24,투구수,14.0,17.0
variable25,피안타율,68.0,34.0
variable26,2루타,15.0,21.0
variable27,3루타,35.0,38.0
variable28,희생번트,29.0,22.0
variable29,희생플라이,27.0,39.0
variable30,고의4구,50.0,45.0
variable31,폭투,48.0,70.0
variable32,보크,72.0,79.0
variable33,선발,23.0,43.0
variable34,선발승,16.0,57.0
variable35,구원승,54.0,47.0
variable36,종료,45.0,62.0
variable37,세이브기회,37.0,28.0
variable38,터프세이브,49.0,58.0
variable39,병살타,26.0,37.0
variable40,땅볼,19.0,23.0
variable41,뜬공,13.0,18.0
variable42,인플레이타구타율,79.0,40.0
variable43,투구수/경기,28.0,27.0
variable44,투구수/이닝,56.0,30.0
variable45,9이닝당 삼진,61.0,56.0
variable46,9이닝당 볼넷,53.0,35.0
variable47,피출루율,51.0,50.0
variable48,피장타율,65.0,46.0
variable49,피OPS,58.0,53.0
variable50,경기(수비),38.0,14.0
variable51,선발경기(수비),24.0,49.0
variable52,수비이닝(수비),11.0,16.0
variable53,실책(수비),43.0,55.0
variable54,견제사(수비),44.0,66.0
variable55,자살(수비),30.0,44.0
variable56,보살(수비),25.0,29.0
variable57,병살(수비),34.0,69.0
variable58,수비율(수비),52.0,54.0
variable59,WAR,18.0,32.0
variable60,FA여부,4.0,59.0
variable61,뉴스개수(연도별정규화),5.0,8.0
variable62,뉴스개수(누적정규화),2.0,2.0
variable63,수상횟수,60.0,80.0
variable64,누적이닝,1.0,1.0
variable65,포지션 엔트로피,77.0,77.0
variable66,출생연도,41.0,4.0
variable67,출생월,70.0,20.0
variable68,출생일,66.0,7.0
variable69,나이,3.0,6.0
variable70,팀명_KIA,80.0,76.0
variable71,팀명_KT,64.0,61.0
variable72,팀명_LG,75.0,63.0
variable73,팀명_NC,69.0,65.0
variable74,팀명_SK,74.0,68.0
variable75,팀명_두산,78.0,73.0
variable76,팀명_롯데,73.0,74.0
variable77,팀명_삼성,57.0,75.0
variable78,팀명_우리/히어로즈/넥센/키움,67.0,67.0
variable79,팀명_한화,76.0,64.0
variable80,팀명_현대,71.0,78.0
